Beskrivelse,CreationDate,Creator,EditDate,Editor,Navn_bekk,Navn_observatør,POINT_X,POINT_Y,Registreringsdato,x,y
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Røyrkjerrbekken,"Audun Abrahamsen, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"70 383,314","6 461 241,161"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Trybekken,"Audun Abrahamsen, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"67 263,609","6 464 457,347"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Suvatnebekken,Fylkesmannen i Vest-Agder,,,2016-02-29 00:00:00,"64 944,126","6 461 630,691"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Jåbekk,Mandal kommune/sjøørretklubben 2008,,,2008-08-11 00:00:00,"58 279,869","6 456 608,191"
Diffust område -forvaltninggrense fastsatt,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Jåbekkvassdraget v/ Aurebekk,Mandal kommune/sjøørretklubben 2008,,,2008-08-11 00:00:00,"60 152,98","6 458 487,445"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Kige,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"59 048,791","6 455 117,226"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Regevik,"K. Bringsdal, E. Vegge 2011",,,2016-02-22 00:00:00,"57 116,022","6 455 920,243"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Rægebekken,Mandal kommune/sjøørretklubben 2008,,,2008-08-11 00:00:00,"48 990,844","6 460 396,949"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk til Rødlandstjønna,Mandal kommune/sjøørretklubben 2008,,,2008-08-11 00:00:00,"50 424,067","6 459 448,266"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kilsbekken,Fylkesmannen i Vest-Agder,,,2006-08-21 00:00:00,"49 357,002","6 462 675,038"
Innsjø (ikke hinder),"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Audna,Direktoratet for naturforvaltning,,,2006-08-15 00:00:00,"53 448,74","6 490 171,499"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Kvennevika,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2016-02-29 00:00:00,"22 985,656","6 478 712,488"
